time_iso8601,stars_cumulative
2022-07-07 00:00:00+00:00,1923
2022-07-08 00:00:00+00:00,1925
2022-07-09 00:00:00+00:00,1932
2022-07-10 00:00:00+00:00,1940
2022-07-11 00:00:00+00:00,1946
2022-07-12 00:00:00+00:00,1952
2022-07-13 00:00:00+00:00,1959
2022-07-14 00:00:00+00:00,1962
2022-07-15 00:00:00+00:00,1965
2022-07-16 00:00:00+00:00,1968
2022-07-17 00:00:00+00:00,1977
2022-07-18 00:00:00+00:00,2006
2022-07-19 00:00:00+00:00,2018
2022-07-20 00:00:00+00:00,2026
2022-07-21 00:00:00+00:00,2030
2022-07-22 00:00:00+00:00,2035
2022-07-23 00:00:00+00:00,2038
2022-07-24 00:00:00+00:00,2043
2022-07-25 00:00:00+00:00,2045
2022-07-26 00:00:00+00:00,2050
2022-07-27 00:00:00+00:00,2079
2022-07-28 00:00:00+00:00,2233
2022-07-29 00:00:00+00:00,2261
2022-07-30 00:00:00+00:00,2281
2022-07-31 00:00:00+00:00,2295
2022-08-01 00:00:00+00:00,2306
2022-08-02 00:00:00+00:00,2322
2022-08-03 00:00:00+00:00,2336
2022-08-04 00:00:00+00:00,2380
2022-08-05 00:00:00+00:00,2398
2022-08-06 00:00:00+00:00,2406
2022-08-07 00:00:00+00:00,2415
2022-08-08 00:00:00+00:00,2424
2022-08-09 00:00:00+00:00,2436
2022-08-10 00:00:00+00:00,2442
2022-08-11 00:00:00+00:00,2449
2022-08-12 00:00:00+00:00,2457
2022-08-13 00:00:00+00:00,2481
2022-08-14 00:00:00+00:00,2611
2022-08-15 00:00:00+00:00,2659
2022-08-16 00:00:00+00:00,2821
2022-08-17 00:00:00+00:00,2975
2022-08-18 00:00:00+00:00,3022
2022-08-19 00:00:00+00:00,3079
2022-08-20 00:00:00+00:00,3111
2022-08-21 00:00:00+00:00,3136
2022-08-22 00:00:00+00:00,3208
2022-08-23 00:00:00+00:00,3252
2022-08-24 00:00:00+00:00,3274
2022-08-25 00:00:00+00:00,3295
2022-08-26 00:00:00+00:00,3326
2022-08-27 00:00:00+00:00,3360
2022-08-28 00:00:00+00:00,3382
2022-08-29 00:00:00+00:00,3411
2022-08-30 00:00:00+00:00,3433
2022-08-31 00:00:00+00:00,3444
2022-09-01 00:00:00+00:00,3458
2022-09-02 00:00:00+00:00,3478
2022-09-03 00:00:00+00:00,3491
2022-09-04 00:00:00+00:00,3498
2022-09-05 00:00:00+00:00,3521
2022-09-06 00:00:00+00:00,3553
2022-09-07 00:00:00+00:00,3611
2022-09-08 00:00:00+00:00,3970
2022-09-09 00:00:00+00:00,4237
2022-09-10 00:00:00+00:00,4340
2022-09-11 00:00:00+00:00,4389
2022-09-12 00:00:00+00:00,4435
2022-09-13 00:00:00+00:00,4485
2022-09-14 00:00:00+00:00,4543
2022-09-15 00:00:00+00:00,4619
2022-09-16 00:00:00+00:00,4801
2022-09-17 00:00:00+00:00,4842
2022-09-18 00:00:00+00:00,4871
2022-09-19 00:00:00+00:00,4922
2022-09-20 00:00:00+00:00,4965
2022-09-21 00:00:00+00:00,4996
2022-09-22 00:00:00+00:00,5006
2022-09-23 00:00:00+00:00,5020
2022-09-24 00:00:00+00:00,5035
2022-09-25 00:00:00+00:00,5040
2022-09-26 00:00:00+00:00,5060
2022-09-27 00:00:00+00:00,5073
2022-09-28 00:00:00+00:00,5082
2022-09-29 00:00:00+00:00,5094
2022-09-30 00:00:00+00:00,5105
2022-10-01 00:00:00+00:00,5123
2022-10-02 00:00:00+00:00,5145
2022-10-03 00:00:00+00:00,5155
2022-10-04 00:00:00+00:00,5172
2022-10-05 00:00:00+00:00,5184
2022-10-06 00:00:00+00:00,5189
2022-10-07 00:00:00+00:00,5207
2022-10-08 00:00:00+00:00,5223
2022-10-09 00:00:00+00:00,5262
2022-10-10 00:00:00+00:00,5272
2022-10-11 00:00:00+00:00,5306
2022-10-12 00:00:00+00:00,5316
2022-10-13 00:00:00+00:00,5324
2022-10-14 00:00:00+00:00,5336
2022-10-15 00:00:00+00:00,5340
2022-10-16 00:00:00+00:00,5351
2022-10-17 00:00:00+00:00,5363
2022-10-18 00:00:00+00:00,5372
2022-10-19 00:00:00+00:00,5385
2022-10-20 00:00:00+00:00,5397
2022-10-21 00:00:00+00:00,5412
2022-10-22 00:00:00+00:00,5427
2022-10-23 00:00:00+00:00,5446
2022-10-24 00:00:00+00:00,5459
2022-10-25 00:00:00+00:00,5470
2022-10-26 00:00:00+00:00,5477
2022-10-27 00:00:00+00:00,5484
2022-10-28 00:00:00+00:00,5494
2022-10-29 00:00:00+00:00,5505
2022-10-30 00:00:00+00:00,5515
2022-10-31 00:00:00+00:00,5535
2022-11-01 00:00:00+00:00,5545
2022-11-02 00:00:00+00:00,5551
2022-11-03 00:00:00+00:00,5561
2022-11-04 00:00:00+00:00,5584
2022-11-05 00:00:00+00:00,5592
2022-11-06 00:00:00+00:00,5614
2022-11-07 00:00:00+00:00,5633
2022-11-08 00:00:00+00:00,5645
2022-11-09 00:00:00+00:00,5665
2022-11-10 00:00:00+00:00,5679
