time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-25 00:00:00+00:00,416,50,2929,946
2023-02-26 00:00:00+00:00,419,46,3605,1254
2023-02-27 00:00:00+00:00,245,39,4365,1690
2023-02-28 00:00:00+00:00,448,52,3166,1180
2023-03-01 00:00:00+00:00,540,54,2729,835
2023-03-02 00:00:00+00:00,137,33,1706,550
2023-03-03 00:00:00+00:00,284,33,1679,467
2023-03-04 00:00:00+00:00,375,42,1531,376
2023-03-05 00:00:00+00:00,247,28,1501,463
2023-03-06 00:00:00+00:00,374,44,1820,470
2023-03-07 00:00:00+00:00,61,15,1721,441
2023-03-08 00:00:00+00:00,227,23,1261,377
2023-03-09 00:00:00+00:00,61,15,1107,343
2023-03-10 00:00:00+00:00,63,12,1358,333
