time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-19 00:00:00+00:00,462,83,1123,340
2023-03-20 00:00:00+00:00,430,114,2068,486
2023-03-21 00:00:00+00:00,349,117,2858,583
2023-03-22 00:00:00+00:00,559,129,2416,496
2023-03-23 00:00:00+00:00,600,144,2421,485
2023-03-24 00:00:00+00:00,877,140,1641,399
2023-03-25 00:00:00+00:00,505,125,1504,437
2023-03-26 00:00:00+00:00,438,125,1660,389
2023-03-27 00:00:00+00:00,452,95,1731,389
2023-03-28 00:00:00+00:00,568,95,2027,417
2023-03-29 00:00:00+00:00,351,117,2804,774
2023-03-30 00:00:00+00:00,247,106,3960,1265
2023-03-31 00:00:00+00:00,396,109,2190,587
2023-04-01 00:00:00+00:00,428,114,1791,376
