time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-28 00:00:00+00:00,568,95,2027,417
2023-03-29 00:00:00+00:00,351,117,2804,774
2023-03-30 00:00:00+00:00,247,106,3960,1265
2023-03-31 00:00:00+00:00,396,109,2190,587
2023-04-01 00:00:00+00:00,489,123,1910,403
2023-04-02 00:00:00+00:00,279,73,1723,443
2023-04-03 00:00:00+00:00,369,121,2155,472
2023-04-04 00:00:00+00:00,470,95,2321,635
2023-04-05 00:00:00+00:00,412,75,1889,511
2023-04-06 00:00:00+00:00,546,109,2321,620
2023-04-07 00:00:00+00:00,329,114,1752,430
2023-04-08 00:00:00+00:00,283,82,1861,448
2023-04-09 00:00:00+00:00,364,68,1581,393
2023-04-10 00:00:00+00:00,261,108,1895,528
